,Pokemon,DPS,TDO,Battle_Stat,Max_CP_Lv40,Fast_Move,Charged_Move,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0, Flabébé,7.46,99.2,41.2,1063,Vine Whip,Dazzling Gleam,,,,,,,,,,,,
1,5th Anniversary Pikachu,8.366,81.2,47.5,938,Thunder Shock,Wild Charge,,,,,,,,,,,,
2,Abomasnow,12.094,322.3,570.1,2362,Razor Leaf,Weather Ball Ice,460.0,Grass,Ice,494.0,90.0,92.0,75.0,92.0,85.0,60.0,4.0,False
3,Abra,11.707,85.1,136.5,1342,Zen Headbutt,Psyshock,63.0,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0,1.0,False
4,Absol,15.134,252.4,874.8,2526,Snarl,Return,359.0,Dark,,465.0,65.0,130.0,60.0,75.0,60.0,75.0,3.0,False
5,Accelgor,13.873,266.4,711.5,2441,Infestation,Bug Buzz,617.0,Bug,,495.0,80.0,70.0,40.0,100.0,60.0,145.0,5.0,False
6,Aegislash - Blade,20.237,267.4,2216.2,2637,Fury Cutter,Shadow Ball,681.0,Steel,Ghost,520.0,60.0,150.0,50.0,150.0,50.0,60.0,6.0,False
7,Aegislash - Shield ,7.341,265.0,104.8,1595,Fury Cutter,Shadow Ball,,,,,,,,,,,,
8,Aerodactyl,14.032,347.4,959.7,2783,Rock Throw,Rock Slide,142.0,Rock,Flying,515.0,80.0,105.0,65.0,60.0,75.0,130.0,1.0,False
9,Aggron,12.16,429.2,771.7,3000,Iron Tail,Heavy Slam,306.0,Steel,Rock,530.0,70.0,110.0,180.0,60.0,60.0,50.0,3.0,False
10,Aipom,9.76,138.5,128.7,1348,Scratch,Return,190.0,Normal,,360.0,55.0,70.0,55.0,40.0,55.0,85.0,2.0,False
11,Alakazam,17.521,356.3,1916.4,3057,Confusion,Psychic,65.0,Psychic,,500.0,55.0,50.0,45.0,135.0,95.0,120.0,1.0,False
12,Alcremie,12.883,346.9,741.8,2682,Charm,Dazzling Gleam,,,,,,,,,,,,
13,Alolan Diglett,6.923,37.8,12.6,681,Metal Claw,Mud Bomb,,,,,,,,,,,,
14,Alolan Dugtrio,12.019,165.0,286.5,1897,Metal Claw,Earthquake,,,,,,,,,,,,
15,Alolan Exeggutor,15.352,413.5,1495.9,3014,Dragon Tail,Solar Beam,,,,,,,,,,,,
16,Alolan Geodude,9.047,124.6,92.3,1293,Rock Throw,Thunderbolt,,,,,,,,,,,,
17,Alolan Golem,14.384,435.9,1297.2,2949,Rollout,Wild Charge,,,,,,,,,,,,
18,Alolan Graveler,10.905,218.1,282.9,1897,Rock Throw,Thunderbolt,,,,,,,,,,,,
19,Alolan Grimer,10.003,149.4,149.5,1374,Poison Jab,Sludge Bomb,,,,,,,,,,,,
20,Alolan Marowak,10.351,245.4,272.2,1835,Fire Spin,Shadow Ball,,,,,,,,,,,,
21,Alolan Meowth,7.399,64.5,26.1,797,Bite,Foul Play,,,,,,,,,,,,
22,Alolan Muk,12.394,398.9,759.4,2757,Snarl,Gunk Shot,,,,,,,,,,,,
23,Alolan Ninetales,11.465,317.7,478.8,2309,Charm,Weather Ball Ice,,,,,,,,,,,,
24,Alolan Persian,10.411,194.2,219.2,1771,Feint Attack,Foul Play,,,,,,,,,,,,
25,Alolan Raichu,13.746,274.1,711.8,2286,Thunder Shock,Wild Charge,,,,,,,,,,,,
26,Alolan Raticate,9.545,219.4,190.8,1705,Quick Attack,Return,,,,,,,,,,,,
27,Alolan Rattata,7.918,54.6,27.1,734,Quick Attack,Return,,,,,,,,,,,,
28,Alolan Sandshrew,8.244,125.2,70.1,1293,Metal Claw,Blizzard,,,,,,,,,,,,
29,Alolan Sandslash,11.292,322.6,464.5,2432,Metal Claw,Blizzard,,,,,,,,,,,,
30,Alolan Vulpix,6.957,78.4,26.4,883,Powder Snow,Weather Ball Ice,,,,,,,,,,,,
31,Alomomola,9.128,326.5,248.3,2169,Waterfall,Hydro Pump,594.0,Water,,470.0,165.0,75.0,80.0,40.0,45.0,65.0,5.0,False
32,Altaria,10.139,297.9,310.5,2004,Dragon Breath,Sky Attack,334.0,Dragon,Flying,490.0,75.0,70.0,90.0,70.0,105.0,80.0,3.0,False
33,Amaura,9.02,154.5,113.4,1363,Frost Breath,Weather Ball Ice,698.0,Rock,Ice,362.0,77.0,59.0,50.0,67.0,63.0,46.0,6.0,False
34,Ambipom,13.595,292.2,734.2,2418,Scratch,Return,424.0,Normal,,482.0,75.0,100.0,66.0,60.0,66.0,115.0,4.0,False
35,Amoonguss,10.593,298.9,355.2,2140,Feint Attack,Grass Knot,591.0,Grass,Poison,464.0,114.0,85.0,70.0,85.0,80.0,30.0,5.0,False
36,Ampharos,12.149,344.4,617.6,2852,Volt Switch,Zap Cannon,181.0,Electric,,510.0,90.0,75.0,85.0,115.0,90.0,55.0,2.0,False
37,Anorith,10.285,117.4,127.7,1529,Scratch,Return,347.0,Rock,Bug,355.0,45.0,95.0,50.0,40.0,50.0,75.0,3.0,False
38,Appletun,11.521,330.8,505.8,2452,Bullet Seed,Outrage,,,,,,,,,,,,
39,Araquanid,8.485,253.5,154.9,1827,Bug Bite,Bug Buzz,,,,,,,,,,,,
40,Arbok,10.471,207.5,238.3,1921,Acid,Gunk Shot,24.0,Poison,,438.0,60.0,85.0,69.0,65.0,79.0,80.0,1.0,False
41,Arcanine,14.614,407.5,1272.0,3029,Fire Fang,Flamethrower,59.0,Fire,,555.0,90.0,110.0,80.0,100.0,80.0,95.0,1.0,False
42,Arceus,14.111,621.9,1747.3,3982,Shadow Claw,Hyper Beam,493.0,Normal,,720.0,120.0,120.0,120.0,120.0,120.0,120.0,4.0,True
43,Archen,11.991,139.3,240.2,1842,Wing Attack,Dragon Claw,566.0,Rock,Flying,401.0,55.0,112.0,45.0,74.0,45.0,70.0,5.0,False
44,Archeops,15.577,326.3,1233.2,3331,Wing Attack,Dragon Claw,567.0,Rock,Flying,567.0,75.0,140.0,65.0,112.0,65.0,110.0,5.0,False
45,Arctovish,9.558,294.5,257.1,2447,Water Gun,Brine,,,,,,,,,,,,
46,Arctozolt,12.944,361.0,782.8,2566,Thunder Shock,Avalanche,,,,,,,,,,,,
47,Ariados,9.666,174.4,157.5,1772,Infestation,Megahorn,168.0,Bug,Poison,390.0,70.0,90.0,70.0,60.0,60.0,40.0,2.0,False
48,Armaldo,13.032,335.0,741.5,2848,Fury Cutter,Return,348.0,Rock,Bug,495.0,75.0,125.0,100.0,70.0,80.0,45.0,3.0,False
49,Armored Mewtwo,12.885,600.0,1283.5,3187,Confusion,Psystrike,,,,,,,,,,,,
50,Aromatisse,10.583,292.0,346.1,2341,Charm,Psychic,683.0,Fairy,,462.0,101.0,72.0,72.0,99.0,89.0,29.0,6.0,False
51,Aron,7.973,131.2,66.5,1307,Metal Claw,Return,304.0,Steel,Rock,330.0,50.0,70.0,100.0,40.0,40.0,30.0,3.0,False
52,Arrokuda,6.742,55.4,17.0,903,Waterfall,Close Combat,,,,,,,,,,,,
53,Articuno,11.523,445.6,681.8,3051,Frost Breath,Blizzard,144.0,Ice,Flying,580.0,90.0,85.0,100.0,95.0,125.0,85.0,1.0,True
